workload,protocol,threads,hotset_prob,elapsed_s,total_commits,total_aborts,throughput_tps,abort_rate_pct,txn_type,type_commits,type_aborts,type_abort_pct,type_avg_latency_us,type_p50_us,type_p90_us,type_p99_us
2,occ,4,0.300000,0.022368,800,17,35765.846013,2.080783,new_order,397,10,2.457002,73.591630,13.959000,23.741800,91.105320
2,occ,4,0.300000,0.022368,800,17,35765.846013,2.080783,payment,403,7,1.707317,41.665707,10.458000,17.508600,106.460820
2,occ,4,0.500000,0.012621,800,19,63386.836313,2.319902,payment,388,12,3.000000,55.887224,10.250000,12.899900,441.802330
2,occ,4,0.500000,0.012621,800,19,63386.836313,2.319902,new_order,412,7,1.670644,27.008262,13.750000,16.886900,98.875500
2,occ,4,0.700000,0.022839,800,19,35027.995030,2.319902,payment,414,11,2.588235,46.986200,10.750000,14.500000,24.204210
2,occ,4,0.700000,0.022839,800,19,35027.995030,2.319902,new_order,386,8,2.030457,70.696580,14.417000,19.604500,29.339300
2,occ,4,0.900000,0.030598,800,15,26145.392896,1.840491,payment,404,11,2.650602,108.463292,10.583000,12.862700,26.215010
2,occ,4,0.900000,0.030598,800,15,26145.392896,1.840491,new_order,396,4,1.000000,31.006109,14.104000,17.000000,68.614600
2,occ,8,0.100000,0.029448,1600,159,54333.984209,9.039227,new_order,806,92,10.244989,135.381350,54.020500,295.521000,1365.985100
2,occ,8,0.100000,0.029448,1600,159,54333.984209,9.039227,payment,794,67,7.781649,93.587865,14.000000,71.225100,1373.646190
2,occ,8,0.300000,0.031569,1600,123,50682.699125,7.138712,new_order,812,76,8.558559,113.435187,16.812500,94.132700,1164.293370
2,occ,8,0.300000,0.031569,1600,123,50682.699125,7.138712,payment,788,47,5.628743,102.244332,12.458000,23.237500,1490.667830
2,occ,8,0.500000,0.053007,1600,80,30184.834950,4.761905,payment,786,19,2.360248,40.424836,11.375000,18.541500,512.018750
2,occ,8,0.500000,0.053007,1600,80,30184.834950,4.761905,new_order,814,61,6.971429,169.224701,15.042000,25.183100,2694.403290
2,occ,8,0.700000,0.034903,1600,56,45840.948183,3.381643,new_order,778,42,5.121951,122.132915,14.708000,38.304300,1213.789090
2,occ,8,0.700000,0.034903,1600,56,45840.948183,3.381643,payment,822,14,1.674641,39.555200,10.542000,27.904500,57.004500
2,occ,8,0.900000,0.055006,1600,44,29087.581472,2.676399,new_order,786,32,3.911980,145.058079,13.375000,17.271000,33.548250
2,occ,8,0.900000,0.055006,1600,44,29087.581472,2.676399,payment,814,12,1.452785,41.432301,10.062500,13.029400,18.622290
2,occ,16,0.100000,0.085531,3200,583,37413.481179,15.411049,payment,1628,268,14.135021,251.863200,15.250000,267.675000,3939.249430
2,occ,16,0.100000,0.085531,3200,583,37413.481179,15.411049,new_order,1572,315,16.693164,338.033469,105.167000,674.946400,3624.859750
